Conference,Year,Title,Keywords,Category,Note
International Conference on Multibody System Dynamics,2018,A planar impact model for rocking block systems ,"Contact, Impact, and Constraints",기타,
International Conference on Multibody System Dynamics,2018,Solution of the general single contact frictional problem in multibody dynamics using b-geometry ,"Contact, Impact, and Constraints",기타,
International Conference on Multibody System Dynamics,2018,An improved LCP model of multiple contact problems with static friction ,"Contact, Impact, and Constraints",기타,
International Conference on Multibody System Dynamics,2018,Limitations of finite difference methods in the computation of coupling forces prescribed by the Reynolds equation ,"Contact, Impact, and Constraints",기타,
International Conference on Multibody System Dynamics,2018,Terramechanics and Impact Modelling of a Spherical Hybrid Ground-Aerial Vehicle,"Contact, Impact, and Constraints",기타,
International Conference on Multibody System Dynamics,2018,Hybrid OpenMP - MPI Simulation for Large-Scale Granular Dynamics in Chrono ,"Contact, Impact, and Constraints",기타,
International Conference on Multibody System Dynamics,2018,Influence of soft and rigid contact models on granular dynamics,"Contact, Impact, and Constraints",기타,
International Conference on Multibody System Dynamics,2018,Coupling Multibody and Granular Dynamics: Experimental Validation,"Contact, Impact, and Constraints",기타,
International Conference on Multibody System Dynamics,2018,Implementation of a non-Hertzian Contact Model for Railway Dynamics,"Contact, Impact, and Constraints",기타,
International Conference on Multibody System Dynamics,2018,A new simplified approach to deal with conformal contact in railway dynamics,"Contact, Impact, and Constraints",기타,
International Conference on Multibody System Dynamics,2018,Development and validation of a wear model by means of innovative measuring instruments,"Contact, Impact, and Constraints",기타,
International Conference on Multibody System Dynamics,2018,Wear and Rolling Contact Fatigue: development of an innovative tool for simultaneous wheel and rail damage evaluation,"Contact, Impact, and Constraints",기타,
International Conference on Multibody System Dynamics,2018,Kinematics Extraction of the ATD Head Impact Component Tester from Angular Rate Sensor and Accelerometer Data,"Contact, Impact, and Constraints",기타,
International Conference on Multibody System Dynamics,2018,Full-field Measurement of Contacts/Impacts in Multibody System Using Digital Image Correlation,"Contact, Impact, and Constraints",기타,
International Conference on Multibody System Dynamics,2018,Dynamic modeling and analysis of contact interaction of a passive biped-walking robot,"Contact, Impact, and Constraints",기타,
International Conference on Multibody System Dynamics,2018,Gear drive simulations with friction and higher order ansatz functions using elastic multibody models ,"Contact, Impact, and Constraints",기타,
International Conference on Multibody System Dynamics,2018,Formulation and Analysis of Sliding Joints with Clearances in Flexible Multibody Systems ,"Contact, Impact, and Constraints",기타,
International Conference on Multibody System Dynamics,2018,A Methodology for Modeling and Simulating Frictional Translational Joint with a Flexible Slider and Clearance in Multibody Systems ,"Contact, Impact, and Constraints",기타,
International Conference on Multibody System Dynamics,2018,A Transient EHL contact model describing system-level spur gears dynamic behavior ,"Contact, Impact, and Constraints",기타,
International Conference on Multibody System Dynamics,2018,"Time integration of nonsmooth mechanical systems using constraints at position, velocity and acceleration levels ","Contact, Impact, and Constraints",기타,
International Conference on Multibody System Dynamics,2018,"Gauss principle of least constraints for nonsmooth
multibody system","Contact, Impact, and Constraints",기타,
International Conference on Multibody System Dynamics,2018,Rigid Bodies in Continuum mechanics ,"Contact, Impact, and Constraints",기타,
International Conference on Multibody System Dynamics,2018,Using superposition of local soil flow fields to improve soil deformation in the DLR Soil Contact Model - SCM ,"Contact, Impact, and Constraints",기타,
International Conference on Multibody System Dynamics,2018,Impacts in case of triple unilateral constraint system ,"Contact, Impact, and Constraints",기타,
International Conference on Multibody System Dynamics,2018,Measuring the Error in Mixed Linear Complementarity Problem Formulations for Multibody Systems with Contact ,"Contact, Impact, and Constraints",기타,
International Conference on Multibody System Dynamics,2018,The Shimmy Phenomenon in Dynamics of Driven Rigid Castor Wheel ,"Contact, Impact, and Constraints",기타,
International Conference on Multibody System Dynamics,2018,Modeling and numerical simulation for an asymmetric dimer on a vibrating plate ,"Contact, Impact, and Constraints",기타,
International Conference on Multibody System Dynamics,2018,How Automated Data-Collection Dynamics Embeds Bias into Dataset ,"Contact, Impact, and Constraints",기타,
International Conference on Multibody System Dynamics,2018,Verify the Performance Levels of Vehicle Restraint Systems with Multibody System Dynamics ,"Contact, Impact, and Constraints",기타,
International Conference on Multibody System Dynamics,2018,"A model-based corrector approach for explicit
co-simulation using subspace identification","Applications, Multidisciplinary Methods and Other Topics",기타,
International Conference on Multibody System Dynamics,2018,Analysis of the Computation Time of Co-Simulation Methods ,"Applications, Multidisciplinary Methods and Other Topics",기타,
International Conference on Multibody System Dynamics,2018,Pantograph catenary dynamic interaction modeling based on advanced multibody and finite element co-simulation ,"Applications, Multidisciplinary Methods and Other Topics",기타,
International Conference on Multibody System Dynamics,2018,Dynamic Analysis of Pantograph-Catenary Interaction in Curved Railway Tracks ,"Applications, Multidisciplinary Methods and Other Topics",기타,
International Conference on Multibody System Dynamics,2018,A Consistent Treatment of Boundary Conditions for Fluid-Solid Interaction Problems ,"Applications, Multidisciplinary Methods and Other Topics",기타,
International Conference on Multibody System Dynamics,2018,Fully Coupled Multibody-CFD Co-simulation of a Transport Aircraft High-Lift System ,"Applications, Multidisciplinary Methods and Other Topics",기타,
International Conference on Multibody System Dynamics,2018,Reduced order multibody models for the stable co-simulation of multiphysics systems,"Applications, Multidisciplinary Methods and Other Topics",기타,
International Conference on Multibody System Dynamics,2018,Chrono: An Open-Source Multi-physics Simulation Package,"Applications, Multidisciplinary Methods and Other Topics",기타,
International Conference on Multibody System Dynamics,2018,"Co-Simulation of MBD and FE Systems with The Large
Mass Method","Applications, Multidisciplinary Methods and Other Topics",기타,
International Conference on Multibody System Dynamics,2018,Two-dimensional optimal motions of a two-body system,"Applications, Multidisciplinary Methods and Other Topics",기타,
International Conference on Multibody System Dynamics,2018,Multi-body modelling and simulation of locomotion systems based on tensegrity structures ,"Applications, Multidisciplinary Methods and Other Topics",기타,
International Conference on Multibody System Dynamics,2018,On the Validation of Human Body Models with a Driver-in-the-Loop Simulator,"Applications, Multidisciplinary Methods and Other Topics",기타,
International Conference on Multibody System Dynamics,2018,Particle Simulation Interacting with Moving Flexible Bodies through Standard Particle Interface,"Applications, Multidisciplinary Methods and Other Topics",기타,
International Conference on Multibody System Dynamics,2018,Vibration mitigation of a 3 MW wind turbine through passive structural control ,"Applications, Multidisciplinary Methods and Other Topics",기타,
International Conference on Multibody System Dynamics,2018,A Measurement and Signal Processing Concept for the Dynamic Analysis of Operating Wind Turbines ,"Applications, Multidisciplinary Methods and Other Topics",기타,
International Conference on Multibody System Dynamics,2018,ESA multibody tool for launchers and spacecrafts: lesson learnt and future challenges ,"Applications, Multidisciplinary Methods and Other Topics",기타,
International Conference on Multibody System Dynamics,2018,On the long History of MAGLEV Trains ,"Applications, Multidisciplinary Methods and Other Topics",기타,
International Conference on Multibody System Dynamics,2018,"Specification Study of Railway Test Track with R33
Curve Section","Applications, Multidisciplinary Methods and Other Topics",기타,
International Conference on Multibody System Dynamics,2018,Dynamic behavior of a railway crossing: comparison of the results of multibody system dynamic and explicit FEM models ,"Applications, Multidisciplinary Methods and Other Topics",기타,
International Conference on Multibody System Dynamics,2018,Application of time-frequency representations for the detection of railway track singularities ,"Applications, Multidisciplinary Methods and Other Topics",기타,
International Conference on Multibody System Dynamics,2018,Thermomechanical Analysis of Interconnected Multibody Systems Using Floating Frame of Reference Formulation ,"Applications, Multidisciplinary Methods and Other Topics",기타,
International Conference on Multibody System Dynamics,2018,Development of Tire Test Mode under Circuit Driving Condition to Estimate Degradation of a Tire ,"Applications, Multidisciplinary Methods and Other Topics",기타,
International Conference on Multibody System Dynamics,2018,Development jounce-support bumper assembly with increased energy absorption rate to improve vehicle driving performance ,"Applications, Multidisciplinary Methods and Other Topics",기타,
International Conference on Multibody System Dynamics,2018,Coupled Thermo-Mechanical FE Analysis of Brake Systems Considering a Temperature-Dependent Nonlinear Friction Coefficient ,"Applications, Multidisciplinary Methods and Other Topics",기타,
International Conference on Multibody System Dynamics,2018,Multibody modelling of a flexible 6-axis robot dedicated to robotic machining ,"Applications, Multidisciplinary Methods and Other Topics",기타,
International Conference on Multibody System Dynamics,2018,Modeling of machining operations based on the Virtual Machine Tool concept ,"Applications, Multidisciplinary Methods and Other Topics",기타,
International Conference on Multibody System Dynamics,2018,Investigation of falling control rods in deformed guiding tubes in nuclear reactors using multibody approaches ,"Applications, Multidisciplinary Methods and Other Topics",기타,
International Conference on Multibody System Dynamics,2018,"Geometric Modeling of Flapping Wing Dynamics
in Lie Group Setting","Applications, Multidisciplinary Methods and Other Topics",기타,
International Conference on Multibody System Dynamics,2018,Synchrono: A Multi-Agent Simulation Framework for Robotics and Autonomous Vehicle Applications ,"Applications, Multidisciplinary Methods and Other Topics",기타,
International Conference on Multibody System Dynamics,2018,Dynamic simulation for rigid body system coupled with hydraulic system considering digging behavior of soil,"Applications, Multidisciplinary Methods and Other Topics",기타,
International Conference on Multibody System Dynamics,2018,Failure modes and optimal performance of a generic synchronizer ,"Applications, Multidisciplinary Methods and Other Topics",기타,
International Conference on Multibody System Dynamics,2018,"Improved Recursive Dynamics Simulator (ReDySim)
for Multibody Systems","Applications, Multidisciplinary Methods and Other Topics",기타,
International Conference on Multibody System Dynamics,2018,"Validation of a multi-objective optimisation for the estimation of the musculo-tendon, ligament, and joint contact forces during gait ",Biomechanics,기타,
International Conference on Multibody System Dynamics,2018,Analysis of the musculotendon dynamics influence on the shoulder muscle force sharing problem using a fully inverse dynamics approach ,Biomechanics,기타,
International Conference on Multibody System Dynamics,2018,Influence of Ligament Modelling on Knee Joint Kinematics with respect to Multibody Optimisation ,Biomechanics,기타,
International Conference on Multibody System Dynamics,2018,A Novel Muscle Element based on Arbitrary Lagrange-Euler (ALE) Description ,Biomechanics,기타,
International Conference on Multibody System Dynamics,2018,Estimation of muscle energy expenditure in a spinal-cord-injured subject during crutch-assisted gait,Biomechanics,기타,
International Conference on Multibody System Dynamics,2018,Exact Workspace Synthesis of RCCR Spatial Mechanism for Task-Based Knee Rehabilitation,Biomechanics,기타,
International Conference on Multibody System Dynamics,2018,Validation of a biomechanical model of the lower limb based on relevant actions for the control of knee rehabilitation parallel robots,Biomechanics,기타,
International Conference on Multibody System Dynamics,2018,Towards the optimal design of a passive upper limb exoskeleton compensating gravity,Biomechanics,기타,
International Conference on Multibody System Dynamics,2018,Kinematic model of Savannah Monitor Locomotion,Biomechanics,기타,
International Conference on Multibody System Dynamics,2018,Reduction of ground-foot impact intensity of a hopping leg model on slopes ,Biomechanics,기타,
International Conference on Multibody System Dynamics,2018,Foot-ground contact modelling for computational prediction of human walking motion,Biomechanics,기타,
International Conference on Multibody System Dynamics,2018,Asymmetric Trajectory Generation for the Biped Ascending Stairs,Biomechanics,기타,
International Conference on Multibody System Dynamics,2018,Implementation of an Extended Kalman Filter for optical motion capture with real-time 3D visualization ,Biomechanics,기타,
International Conference on Multibody System Dynamics,2018,Customized MBD models to contribute to answering clinical questions about the spine in motion ,Biomechanics,기타,
International Conference on Multibody System Dynamics,2018,Direct and Inverse Analysis of Human Spine for Helicopter Comfort Assessment ,Biomechanics,기타,
International Conference on Multibody System Dynamics,2018,Influence of different body pose reconstruction methods in the solution of the inverse dynamic problem during human gait without force plates ,Biomechanics,기타,
International Conference on Multibody System Dynamics,2018,Generating realistic trajectories for robotic hippotherapy from 3D captured horseback motion ,Biomechanics,기타,
International Conference on Multibody System Dynamics,2018,Power spectrum analysis of contact forces and force moments during normal and modified gait ,Biomechanics,기타,
International Conference on Multibody System Dynamics,2018,"A Case Study on Human Gait CoP and GRF Progression During Single-Limb Support - Comparison between Experiment, Multi-Sphere and Continuous Rolling Surface Contact",Biomechanics,기타,
International Conference on Multibody System Dynamics,2018,Fluid Pressure Distribution and Tonotopy in the Human Inner Ear,Biomechanics,기타,
International Conference on Multibody System Dynamics,2018,The effect of visual feedback during stick balancing ,Biomechanics,기타,
International Conference on Multibody System Dynamics,2018,Development of a Multibody-Based Methodology for Motion Simulation of Biomechanical Systems using Natural Coordinates ,Biomechanics,기타,
International Conference on Multibody System Dynamics,2018,Comparison of different actuation modes of a biomechanical human arm model in an optimal control framework ,Biomechanics,기타,
International Conference on Multibody System Dynamics,2018,Formulations of Viscoelastic Constitutive Laws for Beams in Flexible Multibody Dynamics ,Flexible Multibody Systems,기타,
International Conference on Multibody System Dynamics,2018,The use of higher order beam element based on the absolute nodal coordinate formulation in dynamic analysis of rotating shafts,Flexible Multibody Systems,기타,
International Conference on Multibody System Dynamics,2018,A dimensional reduction algorithm and software for acyclically dependent constraints ,Flexible Multibody Systems,기타,
International Conference on Multibody System Dynamics,2018,Acceleration-based strain estimation in a beam-like structure ,Flexible Multibody Systems,기타,
International Conference on Multibody System Dynamics,2018,Superelements in a minimal coordinates floating frame of reference formulation,Flexible Multibody Systems,기타,
International Conference on Multibody System Dynamics,2018,Selection of generalized component modes for modally reduced flexible multibody systems ,Flexible Multibody Systems,기타,
International Conference on Multibody System Dynamics,2018,A model order reduction method for the simulation of gear contacts based on Arbitrary Lagrangian Eulerian formulation,Flexible Multibody Systems,기타,
International Conference on Multibody System Dynamics,2018,A Modified Rayleigh-Ritz Method for Analyzing Flexible Multibody Systems and its Applications,Flexible Multibody Systems,기타,
International Conference on Multibody System Dynamics,2018,A non-invasive system-level model order reduction scheme for flexible multibody models,Flexible Multibody Systems,기타,
International Conference on Multibody System Dynamics,2018,Nonlinear state estimation in flexible-link multibody systems through reduced-order models ,Flexible Multibody Systems,기타,
International Conference on Multibody System Dynamics,2018,On FE Modeling of a Multibody Flexible System with Moving Parts acting as Controllers for Attenuation of Vibrations ,Flexible Multibody Systems,기타,
International Conference on Multibody System Dynamics,2018,Application of ANCF Beams in Buckling Analysis ,Flexible Multibody Systems,기타,
International Conference on Multibody System Dynamics,2018,Bifurcation analysis of landing gear shimmy using flexible multibody models ,Flexible Multibody Systems,기타,
International Conference on Multibody System Dynamics,2018,"A study of contact descriptions in the framework
of the absolute nodal coordinate formulation",Flexible Multibody Systems,기타,
International Conference on Multibody System Dynamics,2018,"Mathematical modelling of spatial linkages with clearance, friction and links' flexibility effects ",Flexible Multibody Systems,기타,
International Conference on Multibody System Dynamics,2018,Oblique impact for flexible robotic finger system ,Flexible Multibody Systems,기타,
International Conference on Multibody System Dynamics,2018,Multibody models of railway vehicle and track with flexible wheelsets and rails ,Flexible Multibody Systems,기타,
International Conference on Multibody System Dynamics,2018,A mixed finite beam element based on the absolute nodal coordinate formulation for nearly incompressible elasticity,Flexible Multibody Systems,기타,
International Conference on Multibody System Dynamics,2018,"Strain-Based Formulation for Dynamic Analysis
of Three-Dimensional Beams",Flexible Multibody Systems,기타,
International Conference on Multibody System Dynamics,2018,Dynamics of Rigid-Flexible Spatial Four-Bar Mechanism ,Flexible Multibody Systems,기타,
International Conference on Multibody System Dynamics,2018,High Order ANCF Beam Element: Integration with Computer Aided Design and Application in Leaf Spring Modeling ,Flexible Multibody Systems,기타,
International Conference on Multibody System Dynamics,2018,"Modelling and Parameter Identification of the Leg
of an Ultralight Robotic System",Flexible Multibody Systems,기타,
International Conference on Multibody System Dynamics,2018,Dynamic Behaviors of Composite Flexible Structure with Piezoelectric Actuators via Absolute Nodal Coordinate Formulation ,Flexible Multibody Systems,기타,
International Conference on Multibody System Dynamics,2018,Deployment Dynamics of Mesh Antennas with a Modeling Method of Tackling the Inherent Multiscale Problem ,Flexible Multibody Systems,기타,
International Conference on Multibody System Dynamics,2018,Solar Sail Deployment Dynamics ,Flexible Multibody Systems,기타,
International Conference on Multibody System Dynamics,2018,Flexible multibody dynamics using polygonal elements ,Flexible Multibody Systems,기타,
International Conference on Multibody System Dynamics,2018,Towards Large-Scale Topology Optimization of Dynamically Loaded Components of Flexible Multibody Systems,"Optimization, Sensitivity Analysis and Parameter Identification",기타,
International Conference on Multibody System Dynamics,2018,Sensitivity Analysis of Multibody System Dynamics Based on L-Stable Method,"Optimization, Sensitivity Analysis
and Parameter Identification",기타,
International Conference on Multibody System Dynamics,2018,Efficient design optimization of beam cross-sections for flexible multibody dynamics,"Optimization, Sensitivity Analysis
and Parameter Identification",기타,
International Conference on Multibody System Dynamics,2018,Identification of railway vehicle seating models for passive safety improvement,"Optimization, Sensitivity Analysis
and Parameter Identification",기타,
International Conference on Multibody System Dynamics,2018,Time optimal control of multibody systems,"Optimization, Sensitivity Analysis
and Parameter Identification",기타,
International Conference on Multibody System Dynamics,2018,High Fidelity Dynamic Modeling and Parameter Identification of Autonomous Vehicle Based on Road Tests,"Optimization, Sensitivity Analysis
and Parameter Identification",기타,
International Conference on Multibody System Dynamics,2018,Optimal Control of Flexible Multibody Systems using the Adjoint Method,"Optimization, Sensitivity Analysis
and Parameter Identification",기타,
International Conference on Multibody System Dynamics,2018,Multibody based topology optimization including manufacturing constraints ,"Optimization, Sensitivity Analysis
and Parameter Identification",기타,
International Conference on Multibody System Dynamics,2018,A system-level bushing joint parameter identification approach using flexible multibody models ,"Optimization, Sensitivity Analysis
and Parameter Identification",기타,
International Conference on Multibody System Dynamics,2018,"Sensitivity analysis of a full vehicle model using ALI3-P
and Matrix-R formulations","Optimization, Sensitivity Analysis
and Parameter Identification",기타,
International Conference on Multibody System Dynamics,2018,Stress calculation in worm gears using elastic multibody models,Computational Methods and Real-Time Applications,기타,
International Conference on Multibody System Dynamics,2018,Simulating Flexible Multibody Vehicle Models in Real-Time,Computational Methods and Real-Time Applications,기타,
International Conference on Multibody System Dynamics,2018,An Efficient Formulation for Flexible Multibody Dynamics using Dynamic Condensation of Deformation Modal Coordinates,Computational Methods and Real-Time Applications,기타,
International Conference on Multibody System Dynamics,2018,Efficient multibody dynamics simulation based on Intel's Advanced Vector Extensions,Computational Methods and Real-Time Applications,기타,
International Conference on Multibody System Dynamics,2018, Iterative refinement implementation on semirecursive algorithm for vehicle dynamics,Computational Methods and Real-Time Applications,기타,
International Conference on Multibody System Dynamics,2018,HHT Method with Velocity Constraints Violation Correction In Index 3 Equations of Motion for Multibody Systems,Computational Methods and Real-Time Applications,기타,
International Conference on Multibody System Dynamics,2018,Numerical integration of a new set of equations of motion for a class of multibody systems using an augmented Lagrangian approach,Computational Methods and Real-Time Applications,기타,
International Conference on Multibody System Dynamics,2018,A Computationally Efficient Approach for Monolithic Simulation of Multibody and Hydraulic Dynamics ,Computational Methods and Real-Time Applications,기타,
International Conference on Multibody System Dynamics,2018,An Efficient High-precision Recursive Algorithm for Net Multibody Systems ,Computational Methods and Real-Time Applications,기타,
International Conference on Multibody System Dynamics,2018,Detailed Multibody Simulation in Real Time ,Computational Methods and Real-Time Applications,기타,
International Conference on Multibody System Dynamics,2018,Dynamic Analysis of Planar Multibody Systems with Fully Cartesian Coordinates ,Computational Methods and Real-Time Applications,기타,
International Conference on Multibody System Dynamics,2018,High Load Capacity Crane Analysis for Real-Time Applications Using Arbitrary Eulerian-Lagrangian Modal Approach ,Computational Methods and Real-Time Applications,기타,
International Conference on Multibody System Dynamics,2018,"Experimental and numerical validation of dynamic transmission error using advanced gear contact model
in a multibody framework",Computational Methods and Real-Time Applications,기타,
International Conference on Multibody System Dynamics,2018,Data-Driven Model Order Reduction for real-time multibody simulations ,Computational Methods and Real-Time Applications,기타,
International Conference on Multibody System Dynamics,2018,Shallow Water Dampers for Mitigation of Wind Turbine Tower Vibrations ,Computational Methods and Real-Time Applications,기타,
International Conference on Multibody System Dynamics,2018,Generating Driving Signals of a Virtual Test Rig for Replication of Physical Target Signals using RecurDyn/TSG Toolkit ,Computational Methods and Real-Time Applications,기타,
International Conference on Multibody System Dynamics,2018,Dynamic Load Balancing for Large Scale Particle Simulations ,Computational Methods and Real-Time Applications,기타,
International Conference on Multibody System Dynamics,2018," Haptic Piano Key based on a Real-Time Multibody Model
of the Double Escapement Grand Piano Action",Computational Methods and Real-Time Applications,기타,
International Conference on Multibody System Dynamics,2018,Elimination Method for Parallelization of Flexible Multibody System Dynamics with Kinematical Loops,"Modelling, Formalisms and Theoretical Methods",기타,
International Conference on Multibody System Dynamics,2018,Time integration of multibody systems using nonlinear domain decomposition techniques with mixed interface conditions,"Modelling, Formalisms and Theoretical Methods",기타,
International Conference on Multibody System Dynamics,2018,BLieDF2nd - a k-step BDF integrator for constrained mechanical systems on Lie groups,"Modelling, Formalisms and Theoretical Methods",기타,
International Conference on Multibody System Dynamics,2018,Modified Newmark formulas for the rotational equations of motion of a rigid body when using Euler parameter,"Modelling, Formalisms and Theoretical Methods",기타,
International Conference on Multibody System Dynamics,2018,partsival ? Collision-based Particle and many-body Simulations on GPUs for Planetary Exploration Systems,"Modelling, Formalisms and Theoretical Methods",기타,
International Conference on Multibody System Dynamics,2018,A DAE approach to an interaction problem between a sloshing and a structural vibration,"Modelling, Formalisms and Theoretical Methods",기타,
International Conference on Multibody System Dynamics,2018,Dynamic Modelling of Fluid Interactions for Typical Sports Utilities,"Modelling, Formalisms and Theoretical Methods",기타,
International Conference on Multibody System Dynamics,2018,An Adaptive Multiscale Method for Biomolecular Systems ,"Modelling, Formalisms and Theoretical Methods",기타,
International Conference on Multibody System Dynamics,2018,A rigid body formulation with non-redundant unified local velocity coordinates,"Modelling, Formalisms and Theoretical Methods",기타,
International Conference on Multibody System Dynamics,2018,A novel method for the forced vibration of Duffing oscillator ,"Modelling, Formalisms and Theoretical Methods",기타,
International Conference on Multibody System Dynamics,2018,Computing Inter-Body Constraint Forces in Recursive Multibody Dynamics ,"Modelling, Formalisms and Theoretical Methods",기타,
International Conference on Multibody System Dynamics,2018,Model-based pre-step stabilization method for non-iterative co-simulation ,"Modelling, Formalisms and Theoretical Methods",기타,
International Conference on Multibody System Dynamics,2018,Higher ? order Rodrigues dual vectors. Kinematic equations and tangent operator ,"Modelling, Formalisms and Theoretical Methods",기타,
International Conference on Multibody System Dynamics,2018,The motions of the celt on a horizontal plane with viscous friction ,"Modelling, Formalisms and Theoretical Methods",기타,
International Conference on Multibody System Dynamics,2018,Determination of Minimal Realizations in Multibody Systems ,"Modelling, Formalisms and Theoretical Methods",기타,
International Conference on Multibody System Dynamics,2018,Influence of Track Design and Health Conditions on the Vehicle-Track Interaction Loads,Dynamics of Vehicles,기타,
International Conference on Multibody System Dynamics,2018,Simplification of the Wheel-Rail Contact Constraints Using the Knife-Edge Contact Approach,Dynamics of Vehicles,기타,
International Conference on Multibody System Dynamics,2018,Development and validation of a new degraded adhesion model for railway vehicles,Dynamics of Vehicles,기타,
International Conference on Multibody System Dynamics,2018,CAD Framework for Simulation of Railway Dynamics ,Dynamics of Vehicles,기타,
International Conference on Multibody System Dynamics,2018,Assessment of the necessary width of a bicycle lane by means of multibody simulations on a bicycle-rider system ,Dynamics of Vehicles,기타,
International Conference on Multibody System Dynamics,2018,"Analysis on the stability of a bicycle moving on a surface
of revolution",Dynamics of Vehicles,기타,
International Conference on Multibody System Dynamics,2018,Modeling of a Real Vehicle in MBSVT and Validation Efforst using Experimental Data ,Dynamics of Vehicles,기타,
International Conference on Multibody System Dynamics,2018,Tire-suspension HILS system with additional degree of freedom for heaving motion ,Dynamics of Vehicles,기타,
International Conference on Multibody System Dynamics,2018,Development and experimental validation of a numerical multibody model for the dynamic analysis of a counterbalance forklift truck ,Dynamics of Vehicles,기타,
International Conference on Multibody System Dynamics,2018,Validated Slab Track Models for Railway Vehicle Dynamics ,Dynamics of Vehicles,기타,
International Conference on Multibody System Dynamics,2018,A Combined Ride and Handling Model for Railway Vehicles ,Dynamics of Vehicles,기타,
International Conference on Multibody System Dynamics,2018,Roller coaster train dynamics: the effect of the zero-car location ,Dynamics of Vehicles,기타,
International Conference on Multibody System Dynamics,2018,"Multibody dynamic modelling and analysis of roller
coaster vehicles",Dynamics of Vehicles,기타,
International Conference on Multibody System Dynamics,2018,Implementation of State Observers based on Multibody Dynamics on Automotive Platforms in Real-Time ,Dynamics of Vehicles,기타,
International Conference on Multibody System Dynamics,2018,State and input observer for the multibody model of a car ,Dynamics of Vehicles,기타,
International Conference on Multibody System Dynamics,2018,Handling Quality Quantification of an Actively Controlled Narrow Track Vehicle ,Dynamics of Vehicles,기타,
International Conference on Multibody System Dynamics,2018,Novel nonlinear lumped parameter model for asymmetric rubber bushing components ,Dynamics of Vehicles,기타,
International Conference on Multibody System Dynamics,2018,Feedforward control of a crane manipulator ,"Control, Mechatronics and Robotics",기타,
International Conference on Multibody System Dynamics,2018,Stability-Limit Analysis of Time-Delayed Systems ,"Control, Mechatronics and Robotics",기타,
International Conference on Multibody System Dynamics,2018,An Experimental Study on the Cooperative Transportation of a Load Using Swarm Robots ,"Control, Mechatronics and Robotics",기타,
International Conference on Multibody System Dynamics,2018,Modeling and Simulation of In-pipe Inspection Robot Behavior through Pipeline Fittings ,"Control, Mechatronics and Robotics",기타,
International Conference on Multibody System Dynamics,2018,"Active Multidimensional Vibration Absorbers
for Light Robots","Control, Mechatronics and Robotics",기타,
International Conference on Multibody System Dynamics,2018,Validation of the Velocity Planning Method for the Off-road Unmanned Ground Vehicle ,"Control, Mechatronics and Robotics",기타,
International Conference on Multibody System Dynamics,2018,TerRA: Terramechanics for Real-time Application ,"Control, Mechatronics and Robotics",기타,
International Conference on Multibody System Dynamics,2018,Obstacle Climbing Improvement of Wheeled Mobile Robots with Extendable Bodies ,"Control, Mechatronics and Robotics",기타,
International Conference on Multibody System Dynamics,2018,"Inverse Kinematics for General 6R Manipulators
in RoboAnalyzer","Control, Mechatronics and Robotics",기타,
International Conference on Multibody System Dynamics,2018,"Flexible models of a three degree of freedom serial
elastic robot","Control, Mechatronics and Robotics",기타,
International Conference on Multibody System Dynamics,2018,Analysis of Servo-constraints Solution Approaches for Underactuated Multibody Systems ,"Control, Mechatronics and Robotics",기타,
International Conference on Multibody System Dynamics,2018,"A Space Soft Robot of Multi-joint
Ring Structure","Control, Mechatronics and Robotics",기타,
International Conference on Multibody System Dynamics,2018,Miniature Jumping Robot With Consecutive Jumping Ability ,"Control, Mechatronics and Robotics",기타,
International Conference on Multibody System Dynamics,2018,Higher-order acceleration centers and kinematic invariants of rigid body Motion ,Multibody Kinematics,기타,
International Conference on Multibody System Dynamics,2018,Kinematic calibration of a 2-DOF flexure-based manipulator ,Multibody Kinematics,기타,
International Conference on Multibody System Dynamics,2018,Comparison of motion representations for efficient numerical simulation of flexible multibody systems ,Multibody Kinematics,기타,
International Conference on Multibody System Dynamics,2018,Set-Based Design of Automobile Independent Suspension Linkages ,Multibody Kinematics,기타,
International Conference on Multibody System Dynamics,2018,Singularity-free non-redundant time integration of multibody systems models in absolute coordinate formulation ,Multibody Kinematics,기타,
